,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,fare,-16.7,-151.02,81.81,80,12,17.6,PF,1578434509
318,biak,-0.91,122.88,81.66,74,100,11.5,ID,1578434362
319,hamilton,43.26,-79.87,39.99,64,75,10.29,CA,1578433920
320,orsha,54.51,30.43,30.61,95,96,9.19,BY,1578434509
321,khandyga,62.65,135.58,-4.41,99,91,0.94,RU,1578434509
322,bagotville,-28.98,153.42,78.01,73,4,4.7,AU,1578434509
323,soyaux,45.64,0.19,52.0,100,90,3.36,FR,1578434510
324,alto araguaia,-17.32,-53.22,79.65,76,61,5.75,BR,1578434510
325,northam,-31.65,116.67,63.0,87,0,3.36,AU,1578434510
326,itarema,-2.92,-39.92,79.65,76,78,6.42,BR,1578434511
327,chalus,36.66,51.42,42.8,81,0,5.17,IR,1578434511
328,clearwater,27.97,-82.8,72.0,60,1,6.76,US,1578434499
329,suntar,62.16,117.65,17.65,93,100,8.23,RU,1578434511
330,bayaguana,18.75,-69.64,81.0,78,40,4.7,DO,1578434511
331,fairmont,40.64,-97.59,50.0,45,1,11.41,US,1578434508
332,cidreira,-30.17,-50.22,75.56,75,4,15.93,BR,1578433827
333,srandakan,-7.94,110.25,73.85,93,80,3.67,ID,1578434511
334,fenoarivo,-18.93,47.44,62.6,100,75,4.88,MG,1578434512
335,roma,41.89,12.48,44.01,69,67,3.36,IT,1578434067
336,kamariotissa,40.48,25.47,41.0,48,20,20.8,GR,1578434512
337,namibe,-15.19,12.15,73.42,81,100,3.11,AO,1578434111
338,port macquarie,-31.43,152.91,82.0,73,5,5.82,AU,1578434115
339,san juan de los lagos,21.25,-102.33,69.8,14,40,13.87,MX,1578434512
340,conceicao da barra,-18.59,-39.73,79.86,84,100,25.37,BR,1578434513
341,santa maria,-16.02,-48.01,78.8,74,40,6.93,BR,1578434513
342,mangochi,-14.48,35.26,68.22,97,100,4.25,MW,1578434513
343,touros,-5.2,-35.46,84.2,70,40,13.87,BR,1578434130
344,astana,51.13,71.43,-7.6,83,75,1.99,KZ,1578434513
345,lucapa,-8.42,20.74,66.15,97,100,2.68,AO,1578434513
346,cairns,-16.92,145.77,80.6,78,75,8.05,AU,1578434403
